ID;Income
5524;58138
2174;46344
4141;71613
6182;26646
5324;58293
7446;62513
965;55635
6177;33454
4855;30351
5899;5648
1994;
387;7500
2125;63033
8180;59354
2569;17323
2114;82800
9736;41850
4939;37760
6565;76995
2278;33812
9360;37040
5376;2447
1993;58607
4047;65324
1409;40689
7892;18589
2404;53359
5255;
9422;38360
1966;84618
6864;10979
3033;38620
5710;40548
7373;46610
8755;68657
10738;49389
4339;67353
10755;23718
8595;42429
2968;48948
8601;80011
503;20559
8430;21994
7281;
2139;7500
1371;79941
9909;7500
7286;41728
7244;
6566;72550
8614;65486
4114;79143
1331;35790
2225;82582
9381;66373
6260;82384
10383;70287
7437;27938
8557;
8375;55954
6853;75777
3076;66653
1012;61823
6518;67680
4137;70666
8082;25721
1386;32474
9369;88194
4477;69096
1357;74854
1402;66991
10629;
6312;65031
8132;60631
1050;28332
5846;40246
1859;75251
7503;75825
10401;26326
1618;56046
3332;29760
2261;26304
5346;23559
4119;38620
535;81361
5268;29440
273;36138
4452;50388
8504;79593
771;54178
8996;
9235;
5798;
11178;42394
2230;23626
7516;30096
7247;47916
11100;51813
4646;78497
3037;50150
1473;47823
1016;34554
4518;85693
9370;65846
8908;87195
8373;24594
7533;49096
2683;52413
3629;38557
10991;89058
5077;77298
7431;68126
3267;57288
999;86037
9215;43974
2286;50785
1592;90765
367;36550
5234;30753
9862;21918
9805;56129
6205;32557
8442;19510
7386;30992
7215;101970
1491;71488
11071;79607
3381;54348
8268;
11051;77376
8026;62998
433;61331
9597;73448
1295;
5290;41551
1685;62981
5342;9548
9579;33762
7660;35860
1461;36921
821;92859
11084;65104
8690;86111
2937;68352
9701;41883
9949;59809
10837;23957
3120;38547
5885;35688
4050;49605
3830;59354
7987;65747
7798;46344
92;34176
7055;61010
10240;69372
3025;49967
9283;60199
9970;55375
2730;80317
2795;30523
9260;70356
8182;23228
10095;74165
8475;157243
4370;43482
10573;62551
3712;52332
6637;66951
3152;26091
5610;33456
6460;28718
1349;50447
1880;53537
641;52074
8717;80427
10314;83837
10854;38853
10492;38285
6935;78497
7698;51650
3559;16248
10562;66835
10796;30477
2563;28249
3518;25271
5823;32303
3934;61286
6982;74068
6431;45759
9733;24882
5602;66973
7829;36640
1324;38872
326;51148
7224;31353
6999;69661
9938;80067
6422;86718
3182;46854
7300;69142
10424;75922
8727;63693
2798;102160
1030;40637
